episode,timestep,reward
1295,1849600,183.3169
1297,1852800,285.1411
1299,1856000,287.544
1301,1859200,285.1071
1303,1862400,282.8395
1306,1865600,194.2576
1308,1868800,287.8448
1310,1872000,286.5475
1312,1875200,289.4137
1315,1878400,177.5556
1317,1881600,288.5125
1319,1884800,286.5718
1321,1888000,288.965
1323,1891200,277.054
1325,1894400,288.5048
1328,1897600,289.6277
1330,1900800,289.9765
1332,1904000,288.0705
1334,1907200,285.2576
1336,1910400,289.3793
1338,1913600,286.7769
1340,1916800,290.2805
1342,1920000,286.2205
1344,1923200,286.2305
1346,1926400,287.5263
1348,1929600,286.1568
1351,1932800,286.6119
1353,1936000,283.6108
1355,1939200,147.177
1357,1942400,287.0204
1360,1945600,287.4858
1362,1948800,125.9066
1364,1952000,287.0737
1367,1955200,289.2879
1369,1958400,289.6213
1371,1961600,287.8749
1373,1964800,288.8148
1375,1968000,288.4199
1377,1971200,290.5805
1380,1974400,214.6795
1382,1977600,286.8926
1384,1980800,286.9091
1386,1984000,289.6745
1388,1987200,289.5799
1391,1990400,229.4627
1393,1993600,292.122
1395,1996800,286.228
1397,2000000,290.7577
1400,2003200,157.3343
1402,2006400,288.4387
1404,2009600,287.6364
1406,2012800,291.2391
1408,2016000,288.8113
1410,2019200,287.5734
1413,2022400,289.0558
1415,2025600,288.4964
1417,2028800,288.9124
1420,2032000,204.1231
1422,2035200,289.2392
1424,2038400,288.877
1426,2041600,287.2704
1428,2044800,285.1526
1430,2048000,289.3434
1432,2051200,289.2105
1434,2054400,287.1767
1436,2057600,290.2951
1438,2060800,286.7161
1440,2064000,290.2858
1443,2067200,278.9741
1445,2070400,287.7236
1447,2073600,289.4234
1449,2076800,291.7455
1451,2080000,288.433
1453,2083200,290.2309
1455,2086400,288.3241
1457,2089600,289.2199
1460,2092800,290.6228
1462,2096000,289.9565
1464,2099200,291.0877
1466,2102400,290.768
1468,2105600,287.2142
1470,2108800,291.3941
1473,2112000,290.2145
1475,2115200,289.9502
1477,2118400,290.0425
1479,2121600,217.6946
1481,2124800,290.3553
1483,2128000,286.272
1486,2131200,180.7335
1489,2134400,178.8095
1491,2137600,287.3185
1493,2140800,287.9964
1495,2144000,288.1894
1498,2147200,288.7247
1500,2150400,287.6451
1502,2153600,287.1664
1505,2156800,196.6935
1507,2160000,290.0977
1509,2163200,289.7607
1511,2166400,289.0517
1513,2169600,289.6664
1515,2172800,291.7424
1517,2176000,289.1799
1519,2179200,289.7822
1521,2182400,288.2625
1523,2185600,289.3684
1526,2188800,290.1745
1528,2192000,289.9329
1530,2195200,291.4565
1532,2198400,291.7269
1534,2201600,289.4195
1536,2204800,291.0511
1538,2208000,290.355
1541,2211200,227.0636
1543,2214400,292.4163
1545,2217600,293.5863
1547,2220800,289.3685
1549,2224000,292.5158
1552,2227200,293.5662
1554,2230400,292.056
1557,2233600,101.1047
1559,2236800,289.0592
1561,2240000,292.6612
1563,2243200,290.3862
1565,2246400,293.2572
1568,2249600,292.3142
1570,2252800,290.5728
1572,2256000,140.0575
1575,2259200,292.6743
1577,2262400,288.5477
1579,2265600,289.7939
1581,2268800,289.659
1583,2272000,292.3762
1585,2275200,198.4539
1588,2278400,157.8153
1590,2281600,289.8117
1593,2284800,287.6717
1595,2288000,129.3885
1597,2291200,291.2548
1600,2294400,291.3054
1602,2297600,294.8798
1606,2300800,93.6375
1608,2304000,289.52
1611,2307200,162.0411
1613,2310400,290.4075
1615,2313600,287.8041
1617,2316800,213.1473
1619,2320000,280.6391
1622,2323200,149.8786
1624,2326400,288.4324
1626,2329600,293.841
1629,2332800,292.1156
1631,2336000,290.9779
1634,2339200,164.5365
1636,2342400,289.384
1639,2345600,160.0521
1642,2348800,148.3231
1649,2352000,12.8499
1652,2355200,160.3395
1654,2358400,289.9412
1656,2361600,291.5923
1658,2364800,288.8791
1662,2368000,88.7041
1664,2371200,290.701
